Country,code,voice_and_accountability
Slovak Republic,SVK,0.959586143
Slovenia,SVN,0.956106901
Solomon Islands,SLB,0.226569712
Somalia,SOM,-2.114792585
South Africa,ZAF,0.642118156
South Sudan,SSD,-1.617889285
Spain,ESP,0.993725598
Sri Lanka,LKA,-0.667200983
St. Kitts and Nevis,KNA,1.121913314
St. Lucia,LCA,1.127577901
St. Vincent and the Grenadines,VCT,1.154827714
Sudan,SDN,-1.736627936
Suriname,SUR,0.516894996
Swaziland,SWZ,-1.333801031
Sweden,SWE,1.61108911
Switzerland,CHE,1.559489489
Syrian Arab Republic,SYR,-1.878197074
"Taiwan, China",TWN,0.881723523
Tajikistan,TJK,-1.495485544
Tanzania,TZA,-0.192261621
Thailand,THA,-0.874782622
Timor-Leste,TLS,0.148780629
Togo,TGO,-0.766488612
Tonga,TON,0.663713038
Trinidad and Tobago,TTO,0.473085731
Tunisia,TUN,0.192784011
Turkey,TUR,-0.338419706
Turkmenistan,TKM,-2.259158611
Tuvalu,TUV,1.045113087
Uganda,UGA,-0.584996819
Ukraine,UKR,-0.142231718
United Arab Emirates,ARE,-1.061368585
United Kingdom,GBR,1.275789618
United States,USA,1.07122314
Uruguay,URY,1.107863307
Uzbekistan,UZB,-1.913251996
Vanuatu,VUT,0.591240466
"Venezuela, RB",VEN,-1.083764911
Vietnam,VNM,-1.374714971
Virgin Islands (U.S.),VIR,..
West Bank and Gaza,PSE,-0.881765187
"Yemen, Rep.",YEM,-1.301007152
Zambia,ZMB,-0.109600693
Zimbabwe,ZWE,-1.256963611
,,
,,
,,
Data from database: Worldwide Governance Indicators,,
Last Updated: 10/19/2016,,
