Country,prevalence_undernourishment
"Macedonia, FYR",16.45519429
Mali,5.254099771
Malta,28.03125
Myanmar,16.65798983
Middle East & North Africa (excluding high income),5.689569138
Montenegro,0.646840149
Mongolia,0.365096939
Northern Mariana Islands,2.173913043
Mozambique,7.184821588
Mauritania,0.436596488
Mauritius,36.45320197
Malawi,40.30547306
Malaysia,2.90366763
North America,10.73786606
Namibia,0.971711062
New Caledonia,0.341356674
Niger,13.26280887
Nigeria,37.33104955
Nicaragua,12.49792255
Netherlands,30.66191748
Norway,2.205642788
Nepal,14.74502965
Nauru,
New Zealand,2.240704873
OECD members,11.24169953
Oman,0.122778675
Other small states,2.077215396
Pakistan,39.48733914
Panama,7.573311811
Peru,3.2434375
Philippines,18.74769427
Palau,2.173913043
Papua New Guinea,0.662456388
Poland,35.5563539
Pre-demographic dividend,9.193269446
Puerto Rico,6.877113867
"Korea, Dem. PeopleÍs Rep.",19.51665144
Portugal,12.36141737
Paraguay,12.08155047
West Bank and Gaza,10.63122924
Pacific island small states,3.71005456
Post-demographic dividend,11.92113241
French Polynesia,0.683060109
Qatar,1.12833764
Romania,38.06067455
Russian Federation,7.518031223
Rwanda,46.68423186
South Asia,43.16183308
Saudi Arabia,1.629072099
Sudan,8.343080808
Senegal,16.62078637
Singapore,0.789844852
Solomon Islands,0.714540907
Sierra Leone,21.94513716
El Salvador,36.1969112
San Marino,16.66666667
Somalia,1.753435139
Serbia,29.62497142
Sub-Saharan Africa (excluding high income),8.976575014
South Sudan,
Sub-Saharan Africa,8.976406534
Small states,2.08393057
Sao Tome and Principe,9.0625
Suriname,0.416666667
Slovak Republic,28.75296369
Slovenia,9.138530288
Sweden,6.336696865
Swaziland,10.1744186
Sint Maarten (Dutch part),
Seychelles,0.326086957
Syrian Arab Republic,25.3880085
Turks and Caicos Islands,1.052631579
Chad,3.891359593
East Asia & Pacific (IDA & IBRD countries),12.05043835
Europe & Central Asia (IDA & IBRD countries),11.01497585
Togo,48.72219158
Thailand,32.90336472
Tajikistan,5.259896531
Turkmenistan,4.128274424
Latin America & the Caribbean (IDA & IBRD countries),8.654403175
Timor-Leste,10.42367182
Middle East & North Africa (IDA & IBRD countries),5.6861241
Tonga,25
South Asia (IDA & IBRD),43.16183308
Sub-Saharan Africa (IDA & IBRD countries),8.976406534
Trinidad and Tobago,4.873294347
Tunisia,18.66632338
Turkey,26.82457804
Tuvalu,
Tanzania,15.2404606
Uganda,34.41053262
Ukraine,56.17484282
Upper middle income,9.325669666
Uruguay,13.77328305
United States,16.64540384
Uzbekistan,10.34320639
St. Vincent and the Grenadines,12.82051282
"Venezuela, RB",3.061050961
British Virgin Islands,6.666666667
Virgin Islands (U.S.),2.857142857
Vietnam,22.5690973
Vanuatu,1.640689089
World,10.9912881
Samoa,2.826855124
Kosovo,
"Yemen, Rep.",2.363770669
South Africa,10.30426432
Zambia,5.111717941
Zimbabwe,10.33992504
