,Country_x,code,GDP,C,E,P,S,X,elev,government_effectiveness,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,political_stability,rule_of_law,Country_y,voice_and_accountability
66,El Salvador,SLV,25054230000,16.4,19.7,17.8,12.7,5.4,442.0164,-0.032733403,,191000,22,36.1969112,12.1,-0.024590004,-0.476327419,El Salvador,0.152603105
67,Equatorial Guinea,GNQ,21736500713,22,19.3,26.6,11.6,5.8,577.8627,-1.504542947,,,,4.278074866,..,-0.374146551,-1.448759675,Equatorial Guinea,-1.976544499
68,Eritrea,ERI,..,22.1,22.7,26.4,15.8,8.5,853.3859,-1.607063174,10000,,,6.831683168,..,-0.805872619,-1.530384064,Eritrea,-2.113502741
69,Estonia,EST,26224622451,14.5,11.6,9.3,6.8,3,61.9125,1.016679525,,,,15.28898325,2.7,0.780257881,1.372891307,Estonia,1.17031002
70,Ethiopia,ETH,55612228234,25.7,21.4,24,18.4,8.4,1330.062,-0.42448172,397000,137000,49000,15.119,28.5,-1.339387417,-0.471563309,Ethiopia,-1.284353971
71,Euro area,EMU,1.35E+13,,,,,,,,,,,24.27426675,2.521416974,,,,
72,Europe & Central Asia,ECS,2.37E+13,,,,,,,,,,,12.33197685,3.04325858,,,,
73,Europe & Central Asia (excluding high income),ECA,4.08E+12,,,,,,,,,,,10.68307077,3.673796296,,,,
74,Europe & Central Asia (IDA & IBRD countries),TEC,4.62E+12,,,,,,,,,,,11.01636815,3.574358039,,,,
75,European Union,EUU,1.86E+13,,,,,,,,,,,25.44079306,2.53274431,,,,
76,Faroe Islands,FRO,2810547884,,,,,,,,,,,2.148997135,..,,,,
77,Fiji,FJI,4469573275,22.2,21.4,19.8,8.7,6.9,,-0.367771119,,,800,9.031198686,4.5,0.553164601,-0.511486351,Fiji,-0.176634297
78,Finland,FIN,2.73E+11,3.7,7,3.4,3.3,1.3,164.483,1.998275638,,,,7.34081411,2.5,1.282197237,2.100273371,Finland,1.541917205
79,Fragile and conflict affected situations,FCS,8.52E+11,,,,,,,,,,,6.152682997,23.80500161,,,,
