"","X.1","Country","code","GDP","C","E","P","S","X","elev","government_effectiveness","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"101",190,"Paraguay","PRY",881166852,20.2,19,19.8,8.5,4.1,178.6918,0.919168353,675950.357142857,375420.689655172,84000,0.08155047,0.4,-0.08862751,0.673159599,0.102842316,71.6,"-0.969663143"
"102",191,"Peru","PER",1e+11,20.7,18.1,18.9,10.8,4.4,1555.255,0.266777873,150000,375420.689655172,950,2434375,6,-0.550656915,0.521067798,192517072,72.9,"-0.560316086"
"103",192,"Philippines","PHL",8.5e+12,25.1,17.9,20.6,15.5,6.2,441.9939,193026796,78000,124000,5787000,0.74769427,0.3,-0.713820934,0.31731075,15926604,85.3,"-0.437061995"
"104",193,"Poland","POL",4.5e+12,10.5,12.5,9.4,6.7,3,171.6889,827383578,675950.357142857,375420.689655172,193045.151515152,0.69025768,5,0.842940807,840595961,105112672,42.1,"0.635148048"
"105",194,"Portugal","PRT",3e+12,6,10.9,8.2,5,3,372.4704,988590837,675950.357142857,375420.689655172,193045.151515152,0.41209541,5,0.806274414,137530565,107445598,33.1,"0.947626293"
"106",200,"Russian Federation","RUS",6e+12,25.2,15.1,21.3,10.6,4.3,372.5321,0.109315023,25000,375420.689655172,23000,518031223,5,-0.943617463,0.741455436,0.044410229,76.5,"-0.919225872"
"107",201,"Rwanda","RWA",16288347,22.6,21.8,21.8,16.2,8.1,1598.151,0.025332073,675950.357142857,375420.689655172,193045.151515152,0.59505472,0.5,-0.313469648,56870598,0.111962318,90.5,"0.762483418"
"108",205,"Saudi Arabia","SAU",5.6e+12,22.6,13.4,20.9,10.9,5.3,665.2062,207730904,675950.357142857,375420.689655172,193045.151515152,629072099,8,-0.285844654,132183999,0.882013559,73.1,"0.087325081"
"109",206,"Senegal","SEN",304363138,19.7,21.1,20.4,15.4,6.2,69.0371,0.403944403,24000,375420.689655172,193045.151515152,0.62078637,0.6,-0.198223099,0.081823833,29227981,82.8,"0.055656247"
"110",207,"Serbia","SRB",210806366,22.2,17,15.4,10.7,6.7,442.0694,89616925,97000,375420.689655172,33000,0.79304825,7,0.184110776,0.149681732,212611303,72,"-0.226995632"
"111",209,"Sierra Leone","SLE",15180977,18.7,25.1,22.2,16.5,7.4,279.3589,0.243713737,675950.357142857,375420.689655172,193045.151515152,0.94513716,0.7,-0.104039676,0.921858549,0.286693156,89.9,"-0.940657198"
"112",212,"Slovak Republic","SVK",1e+11,11.9,14.2,10.2,5.4,3.6,458.604,876235783,675950.357142857,375420.689655172,193045.151515152,0.99804517,3,1.039121151,496026099,959586143,45.3,"0.162737191"
"113",213,"Slovenia","SVN",904928335,7.6,11,7.5,4,2.5,492.6379,5159855,675950.357142857,375420.689655172,193045.151515152,145481629,5,0.965773404,1514196,956106901,32.6,"0.726776481"
"114",217,"South Africa","ZAF",5.1e+12,16.3,18.1,15.4,13.6,3.2,1034.837,341089219,675950.357142857,375420.689655172,3500,0.30426432,4,-0.146388963,182790428,642118156,66.6,"-0.061535094"
"115",221,"Spain","ESP",3.8e+13,15.8,11.8,8.6,5,1.9,704.6398,1597054,675950.357142857,375420.689655172,3800,0.54569081,5,0.243121743,952644229,993725598,43.1,"0.629841745"
