,Country,score,C,E,P,S,X,code,elev,Conflict Stock Displacement,Conflict New Displacements,Disaster New Displacements,percent_arable_land,prevalence_undernourishment,control_of_corruption,government_effectiveness,political_stability,rule_of_law,Jan_Temp,Feb_temp,Mar_temp,Apr_Temp,May_temp,Jun_Temp,July_Temp,Aug_Temp,Sept_temp,Oct_temp,Nov_Temp,Dec_temp,Annual_temp,voice_and_accountability
74,Guinea,28.8,27.2,24,27.9,17.7,8.1,GIN,472.8062,,,34000,12.61598567,12.61598567,-0.986487746,-1.142423511,-0.386988342,-1.158495784,24.25,26.2,27.63,28.23,27.47,25.58,24.52,24.12,24.64,25.13,25.08,23.71,25.55,-0.857955515
75,Guinea-Bissau,30.3,,,,,,GNB,70.4717,,,,10.6685633,10.6685633,-1.482566833,-1.613140225,-0.518216372,-1.283544779,24.26,26.2,27.85,28.91,28.83,27.58,26.17,25.67,26.17,26.86,26.56,24.24,26.61,-0.74958986
76,Guyana,14.4,17.4,21.5,15.9,9.2,6.5,GUY,207.0553,,,,2.133604267,2.133604267,-0.635309577,-0.335406274,-0.139650807,-0.527465999,25.23,25.3,25.65,25.86,25.79,25.38,25.33,25.79,26.39,26.66,26.46,25.7,25.8,0.184057221
77,Haiti,37.3,23.3,27.7,25.9,17.7,9.9,HTI,470.0736,,,1500,38.82438316,38.82438316,-1.237499833,-2.016381025,-0.670838177,-1.180639505,22.5,22.8,23.47,24.17,24.91,25.65,25.87,26.07,25.81,25.29,24.19,22.97,24.48,-0.798660874
78,Honduras,13.4,19.7,20.9,19.7,10.5,7.4,HND,684.9241,174000,,2000,9.116096166,9.116096166,-0.566694617,-0.821539164,-0.468914419,-0.925625324,21.31,21.98,23.38,24.42,24.99,24.5,24.05,24.27,24.21,23.44,22.38,21.7,23.39,-0.421736807
79,India,29,23.5,18.6,18.6,13.4,5.3,IND,621.8081,612000,1000,3655000,52.62462204,52.62462204,-0.352008492,0.09046378,-0.948493361,-0.047318075,16.84,19.15,23.45,27.43,29.53,28.96,26.91,26.23,26.05,24.52,20.79,17.48,23.95,0.427834779
80,Indonesia,22.1,20.5,17.8,18.4,13,5.3,IDN,367.1235,6100,150,204000,12.97217331,12.97217331,-0.458355933,-0.240533337,-0.615060687,-0.422095984,25.51,25.62,25.79,26.02,26.04,25.59,25.27,25.39,25.63,25.99,25.98,25.8,25.72,0.184837207
81,Iraq,22.2,29.6,22.8,25.6,17.1,9.4,IRQ,312.0478,3290000,1114000,23000,11.59053233,11.59053233,-1.368854642,-1.246446609,-2.260351896,-1.417774558,8.88,11.13,15.12,20.71,26.53,30.78,33.3,32.89,29.44,23.58,16.08,10.51,21.58,-1.127883315
82,Jamaica,8.1,13.9,20.8,16,8.2,5.7,JAM,18.125,,,,11.08033241,11.08033241,-0.231597006,0.248759523,0.096484482,-0.227318674,22.76,22.91,23.44,24.25,24.72,25.5,25.7,25.91,25.41,25.03,24.38,23.62,24.47,0.608724177
83,Jordan,5.8,20.1,15.8,18.4,15.8,6.8,JOR,812.3271,,,,2.570398738,2.570398738,0.2600739,0.122611709,-0.605778575,0.439434081,8.34,9.95,13.08,17.72,21.92,25.23,26.9,26.91,24.85,20.68,14.71,9.94,18.35,-0.769348204
84,Kazakhstan,8,20.3,14.8,20,8.5,4.7,KAZ,387.1949,,,19000,10.88824684,10.88824684,-0.852624595,-0.073210396,-0.035000283,-0.439329773,-12.31,-11.8,-3.96,8.24,15.8,20.97,23.4,20.88,15,6.18,-1.92,-8.64,5.99,-1.163727641
85,Kenya,24,26.3,23.3,22.5,17.3,8,KEN,762.8491,309000,,105000,10.19081421,10.19081421,-1.008768797,-0.29414168,-1.244405627,-0.487965614,24.92,25.71,26.1,25.45,24.5,23.42,22.85,23.16,23.92,24.84,24.55,24.57,24.5,-0.146467701
86,Kuwait,5,16.1,10.8,17.1,9.1,4.4,KWT,108.2327,,,,0.432098765,0.432098765,-0.225088716,-0.033110809,-0.213420272,0.001076935,12.35,14.66,19.23,24.21,30.66,34.72,36.25,35.88,32.78,27.13,19.89,14.08,25.15,-0.663633525
87,Latvia,5,15.2,13,10.3,6.3,3.8,LVA,95.893,,,,19.77806369,19.77806369,0.4681741,1.089666128,0.443747222,0.794600129,-5.87,-5.3,-1.37,4.96,11.26,15.04,16.55,15.94,11.51,6.73,1.34,-3.28,5.63,0.846473753
