"Guam	GUM	Arable land (% of land area)	AG.LND.ARBL.ZS	1.851851852"
"Guyana	GUY	Arable land (% of land area)	AG.LND.ARBL.ZS	2.133604267"
"High income	HIC	Arable land (% of land area)	AG.LND.ARBL.ZS	10.05956745"
"Hong Kong SAR, China	HKG	Arable land (% of land area)	AG.LND.ARBL.ZS	2.952380952"
"Honduras	HND	Arable land (% of land area)	AG.LND.ARBL.ZS	9.116096166"
"Heavily indebted poor countries (HIPC)	HPC	Arable land (% of land area)	AG.LND.ARBL.ZS	8.344510453"
"Croatia	HRV	Arable land (% of land area)	AG.LND.ARBL.ZS	15.08398856"
"Haiti	HTI	Arable land (% of land area)	AG.LND.ARBL.ZS	38.82438316"
"Hungary	HUN	Arable land (% of land area)	AG.LND.ARBL.ZS	48.7374351"
"IBRD only	IBD	Arable land (% of land area)	AG.LND.ARBL.ZS	11.61992806"
"IDA & IBRD total	IBT	Arable land (% of land area)	AG.LND.ARBL.ZS	11.31353055"
"IDA total	IDA	Arable land (% of land area)	AG.LND.ARBL.ZS	10.50530186"
"IDA blend	IDB	Arable land (% of land area)	AG.LND.ARBL.ZS	14.87185749"
"Indonesia	IDN	Arable land (% of land area)	AG.LND.ARBL.ZS	12.97217331"
"IDA only	IDX	Arable land (% of land area)	AG.LND.ARBL.ZS	9.232568302"
"Isle of Man	IMN	Arable land (% of land area)	AG.LND.ARBL.ZS	40.70175439"
"India	IND	Arable land (% of land area)	AG.LND.ARBL.ZS	52.62462204"
"Not classified	INX	Arable land (% of land area)	AG.LND.ARBL.ZS	"
"Ireland	IRL	Arable land (% of land area)	AG.LND.ARBL.ZS	14.93685586"
"Iran, Islamic Rep.	IRN	Arable land (% of land area)	AG.LND.ARBL.ZS	9.017289226"
"Iraq	IRQ	Arable land (% of land area)	AG.LND.ARBL.ZS	11.59053233"
"Iceland	ISL	Arable land (% of land area)	AG.LND.ARBL.ZS	1.206982544"
"Israel	ISR	Arable land (% of land area)	AG.LND.ARBL.ZS	13.73382625"
"Italy	ITA	Arable land (% of land area)	AG.LND.ARBL.ZS	22.44169443"
"Jamaica	JAM	Arable land (% of land area)	AG.LND.ARBL.ZS	11.08033241"
"Jordan	JOR	Arable land (% of land area)	AG.LND.ARBL.ZS	2.570398738"
