"","X.1","Country","code","C","E","P","S","X","GDP","elev","Conflict.Stock.Displacement","Conflict.New.Displacements","Disaster.New.Displacements","percent_arable_land","prevalence_undernourishment","government_effectiveness","political_stability","rule_of_law","voice_and_accountability","fsi","control_corruption"
"62",62,"Hungary","HUN",12.4,13.5,14.4,4.8,4,2.3e+12,143.5822,792917.647058823,321074.642857143,171096.669642857,0.7374351,48.7374351,49741441,0.746297717,399943441,559930801,49.1,"0.164560184"
"63",63,"Iceland","ISL",4.1,8,3.7,3,4.6,783714958,557.4451,792917.647058823,321074.642857143,171096.669642857,206982544,1.206982544,492341518,1.308164477,667345166,376409292,23.4,"1.827839136"
"64",64,"India","IND",23.5,18.6,18.6,13.4,5.3,9e+12,621.8081,612000,1000,3655000,0.62462204,52.62462204,9046378,-0.948493361,0.047318075,427834779,79.4,"-0.428023726"
"65",65,"Indonesia","IDN",20.5,17.8,18.4,13,5.3,6.1e+12,367.1235,6100,150,204000,0.97217331,12.97217331,0.240533337,-0.615060687,0.422095984,184837207,75,"-0.561766207"
"66",66,"Iran, Islamic Rep.","IRN",25.9,19.2,23.2,11.9,7,8.6e+12,1305.438,792917.647058823,321074.642857143,5400,17289226,9.017289226,0.208824545,-0.925701737,0.923484564,0.513511062,87.2,"-0.6192047"
"67",67,"Iraq","IRQ",29.6,22.8,25.6,17.1,9.4,8e+12,312.0478,3290000,1114000,23000,0.59053233,11.59053233,0.246446609,-2.260351896,0.417774558,0.127883315,104.5,"-1.333758235"
"68",68,"Ireland","IRL",5,9.6,4.6,3.6,1.9,9.1e+12,112.422,792917.647058823,321074.642857143,1600,0.93685586,14.93685586,533348799,0.908455491,774914503,334583402,24.7,"1.604880452"
"69",69,"Israel","ISR",24.8,14.6,19,13.4,7.6,9.9e+12,508.4611,792917.647058823,321074.642857143,171096.669642857,0.73382625,13.73382625,388034582,-1.094912767,162290215,744865775,79.4,"0.865709782"
"70",70,"Italy","ITA",14.2,11,9,6.8,2.2,8.3e+13,538.7296,792917.647058823,321074.642857143,1300,0.44169443,22.44169443,448110193,0.3759197,275057644,34700036,43.2,"-0.029641563"
"71",71,"Jamaica","JAM",13.9,20.8,16,8.2,5.7,186886643,18.125,792917.647058823,321074.642857143,171096.669642857,0.08033241,11.08033241,248759523,0.096484482,0.227318674,608724177,64.6,"-0.299021482"
"72",72,"Japan","JPN",8.2,9.1,7.2,7.9,3.6,3.8e+13,438.3172,792917.647058823,321074.642857143,486000,0.52348036,11.52348036,78481245,1.06512773,518730283,98798573,36,"1.694594502"
"73",73,"Jordan","JOR",20.1,15.8,18.4,15.8,6.8,517410282,812.3271,792917.647058823,321074.642857143,171096.669642857,570398738,2.570398738,122611709,-0.605778575,439434081,0.769348204,76.9,"0.135680109"
"74",74,"Kazakhstan","KAZ",20.3,14.8,20,8.5,4.7,8.4e+12,387.1949,792917.647058823,321074.642857143,19000,0.88824684,10.88824684,0.073210396,-0.035000283,0.439329773,0.163727641,68.3,"-0.830442965"
"75",75,"Kenya","KEN",26.3,23.3,22.5,17.3,8,767539357,762.8491,309000,321074.642857143,105000,0.19081421,10.19081421,0.29414168,-1.244405627,0.487965614,0.146467701,97.4,"-0.933301449"
"76",76,"Korea, Rep.","KOR",9.3,9,8.3,4.3,5.4,3.8e+13,282.3633,792917.647058823,321074.642857143,171096.669642857,0.02359458,15.02359458,12607813,0.161014125,932395458,630966604,36.3,"0.547560692"
"77",77,"Kuwait","KWT",16.1,10.8,17.1,9.1,4.4,1.5e+12,108.2327,792917.647058823,321074.642857143,171096.669642857,432098765,0.432098765,0.033110809,-0.213420272,1076935,0.663633525,57.5,"-0.240322918"
"78",78,"Kyrgyz Republic","KGZ",23.2,19.8,20.6,11.7,6.9,78178340,2988.048,792917.647058823,321074.642857143,5900,676746611,6.676746611,0.914483786,-0.882437944,0.989245474,0.404146224,82.2,"-1.127943873"
"79",79,"Lao PDR","LAO",20.6,19.8,24.8,12.7,6.6,390395150,710.2068,792917.647058823,321074.642857143,12000,60745234,6.60745234,0.510504663,0.541362047,0.798730552,0.753418684,84.5,"-0.849051833"
"80",80,"Latvia","LVA",15.2,13,10.3,6.3,3.8,9231911,95.893,792917.647058823,321074.642857143,171096.669642857,0.77806369,19.77806369,89666128,0.443747222,794600129,846473753,48.6,"0.415365428"
"81",81,"Lebanon","LBN",26.7,17,20.4,14.8,9.2,459296463,1249.193,12000,3000,110,0.90322581,12.90322581,0.474226981,-1.702586532,0.825654566,0.462531269,88.1,"-1.037225246"
"82",82,"Lesotho","LSO",17.3,23,19.2,12.6,7.8,5886025,2160.854,792917.647058823,321074.642857143,171096.669642857,969038208,8.969038208,0.684340656,-0.308428764,0.174012661,117346577,79.9,"0.190519944"
"83",83,"Liberia","LBR",21.4,23.5,23.7,18.7,10,3.4e+07,243.6676,792917.647058823,321074.642857143,171096.669642857,1910299,5.1910299,0.393890619,-0.818025708,0.864492297,0.221026897,97.3,"-0.771458089"
"84",84,"Lithuania","LTU",10.3,14.2,9.6,5.9,3,402022148,110.2539,792917.647058823,321074.642857143,171096.669642857,0.68856751,34.68856751,185165882,0.759793997,8058906,973841727,43,"0.558858037"
"85",85,"Luxembourg","LUX",8.5,5.1,3.6,3.4,1.6,784495265,325.02,792917.647058823,321074.642857143,171096.669642857,0.24710425,24.24710425,724363685,1.439398408,874665856,546707153,22.2,"2.073182344"
